RBP	RBP_name_simple	RBP_name_complex	fimo1_motif	fimo1_not_motif	fimo2_motif	fimo2_not_motif	odd1	odd2	odd	pvalue	pvalue_adj
M350_0.6	ZFP36	ZFP36_ZFP36L2_ZFP36L1	20	7602	1237	398748	0.002630886608787161	0.0031022099170403363	0.8480685315122579	0.531658981926422	1.0
M236_0.6	HNRNPR	HNRNPR_SYNCRIP	41	7581	2495	397490	0.005408257485819813	0.006276887468867141	0.8616145362879829	0.37770068152613273	1.0
M160_0.6	KHDRBS1	KHDRBS1	17	7605	1618	398367	0.002235371466140697	0.004061581406090364	0.5503697310581404	0.010148061207586876	1.0
M127_0.6	ELAVL1	ELAVL1_ELAVL3	27	7595	1797	398188	0.003554970375246873	0.0045129436346650325	0.7877276259203126	0.25901711085434764	1.0
M232_0.6	ELAVL1	ELAVL1_ELAVL3	67	7555	2944	397041	0.00886829913964262	0.0074148513629574775	1.1960184642333036	0.1555425707537204	1.0
M176_0.6	KHDRBS2	KHDRBS2	21	7601	1220	398765	0.0027627943691619526	0.003059446039647411	0.9030374562449721	0.7524582869402272	1.0
M228_0.6	PTBP1	PTBP1_PTBP2_ROD1	58	7564	2032	397953	0.007667900581702803	0.005106130623465585	1.501704744188177	0.0034895667661436424	0.5897367834782755
M001_0.6	A1CF	A1CF	10	7612	581	399404	0.0013137151865475565	0.0014546674545072157	0.9031034429739075	0.8794231856636863	1.0
M352_0.6	SRSF2	SRSF2_ENSG00000180771	57	7565	3581	396404	0.007534699272967614	0.009033713080594545	0.8340644877412605	0.19619723420979415	1.0
M035_0.6	LIN28A	LIN28A_LIN28B	68	7554	3693	396292	0.009001853322742918	0.009318886073905101	0.9659795442665682	0.8559224237991698	1.0
M144_0.6	PABPC1L	PABPC1L_PABPC3	26	7596	2492	397493	0.0034228541337546076	0.0062692927925774794	0.5459713315363244	0.0011072295909043271	0.18712180086283128
M250_0.6	CSDA	CSDA	25	7597	1890	398095	0.00329077267342372	0.004747610494982353	0.6931429351463575	0.07492190896830493	1.0
M177_0.6	PCBP4	PCBP4_PCBP1_PCBP3	64	7558	2915	397070	0.00846784863720561	0.00734127483818974	1.1534575157376437	0.24859212039797934	1.0
M157_0.6	CELF3	CELF3_BRUNOL5	22	7600	2136	397849	0.0028947368421052633	0.0053688711043637155	0.5391704859057757	0.002342262292409183	0.395842327417152
M231_0.6	EIF2S1	EIF2S1	35	7587	1543	398442	0.0046131540793462504	0.0038725837135643332	1.191234178666804	0.30460781386273117	1.0
M053_0.6	RBM5	RBM5	46	7576	3873	396112	0.006071805702217529	0.009777537666114635	0.6209953783415414	0.000711362148115255	0.1202202030314781
M317_0.6	SNRPA	SNRPA_SNRPB2	21	7601	1205	398780	0.0027627943691619526	0.0030217162345152716	0.9143129780368493	0.83222433829065	1.0
M013_0.6	DAZAP1	DAZAP1	11	7611	566	399419	0.0014452765733806332	0.0014170582771475568	1.0199132926910233	0.8774672680514695	1.0
M188_0.6	PCBP4	PCBP4_PCBP3	51	7571	2195	397790	0.006736230352661471	0.005517986877498177	1.220776798170937	0.15931479197968987	1.0
M061_0.6	SAMD4A	SAMD4A_SAMD4B	139	7483	5053	394932	0.018575437658693038	0.01279460767929669	1.4518176816590063	4.3972218483640405e-05	0.007431304923735229
M104_0.6	SRSF1	SRSF1	78	7544	4636	395349	0.010339342523860021	0.011726348112680189	0.8817188799537393	0.3038089877522526	1.0
M069_0.6	SNRPA	SNRPA_SNRPB2	24	7598	1463	398522	0.0031587259805211897	0.003671064583636537	0.860438684353565	0.5640138883070769	1.0
